historical,done_penalty,bonus_factor,counter_done_max_changes,segments,rewards_sum,entropy_map,reward_game,agent,entropy,reward,is_done_success,changes_penalty,representation,counter_done_interations,discount_reward,done_bonus,reward_experience_bonus,discount_rewards,piece_penalty,experience_bonus,counter_changes,counter_done
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 8.544660805685808], 'action': [array([18], dtype=int64), array([9], dtype=int64), array([5], dtype=int64), array([23], dtype=int64), array([7], dtype=int64), array([16], dtype=int64), array([2], dtype=int64), array([20], dtype=int64)]}",,1.620185174601965,1,[18  9  5 23  7 16  2 20],7.844660805685808,0.9739271662085498,0.0,,3.0,8.544660805685808,True,,narrow-puzzle,0,,50.0,8.631816345903804,7.908417965922883,0,1.0102,8,0
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 8.544660805685808], 'action': [array([28], dtype=int64), array([35], dtype=int64), array([18], dtype=int64), array([39], dtype=int64), array([2], dtype=int64), array([19], dtype=int64), array([25], dtype=int64), array([4], dtype=int64), array([3], dtype=int64), array([24], dtype=int64), array([5], dtype=int64), array([23], dtype=int64), array([33], dtype=int64), array([35], dtype=int64), array([24], dtype=int64), array([7], dtype=int64), array([39], dtype=int64), array([36], dtype=int64), array([16], dtype=int64), array([18], dtype=int64), array([25], dtype=int64)]}",,1.0,2,[39 36 16 18 25 35 24  7],6.544660805685808,0.9308165808016583,3.0,,3.0,8.544660805685808,True,,narrow-puzzle,0,,50.0,8.63352527806494,6.8025340219595805,0,1.0104,21,1
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 1.0], 'action': [array([13], dtype=int64), array([1], dtype=int64), array([18], dtype=int64), array([17], dtype=int64), array([9], dtype=int64), array([16], dtype=int64), array([13], dtype=int64), array([39], dtype=int64)]}",,1.620185174601965,2,[13  1 18 17  9 16 13 39],0.30000000000000004,0.9930554830121974,0.0,,2.75,1.0,True,,narrow-puzzle,0,,10.0,1.0106,0.6226045161609863,0,1.0106,8,2
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 8.544660805685808], 'action': [array([25], dtype=int64), array([2], dtype=int64), array([38], dtype=int64), array([1], dtype=int64), array([25], dtype=int64), array([22], dtype=int64), array([29], dtype=int64), array([8], dtype=int64), array([2], dtype=int64), array([13], dtype=int64), array([22], dtype=int64), array([13], dtype=int64), array([25], dtype=int64), array([22], dtype=int64), array([38], dtype=int64), array([9], dtype=int64), array([1], dtype=int64), array([4], dtype=int64), array([35], dtype=int64)]}",,1.1114378604524227,2,[ 1  4 35 13 25 22 38  9],6.7446608056858075,0.9739271662085498,3.0,,3.0,8.544660805685808,True,,narrow-puzzle,0,,50.0,8.636943142387214,6.966546886076954,0,1.0108,17,3
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 1.0], 'action': [array([35], dtype=int64), array([12], dtype=int64), array([9], dtype=int64), array([12], dtype=int64), array([24], dtype=int64), array([14], dtype=int64), array([9], dtype=int64), array([1], dtype=int64), array([12], dtype=int64), array([22], dtype=int64), array([2], dtype=int64), array([9], dtype=int64)]}",,1.3228756555322954,2,[12 22  2  9 24 14  9  1],-0.09999999999999987,0.9899927915575188,3.0,,2.75,1.0,True,,narrow-puzzle,0,,10.0,1.011,0.4147200926881493,0,1.011,12,4
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 1.0], 'action': [array([39], dtype=int64), array([6], dtype=int64), array([17], dtype=int64), array([31], dtype=int64), array([12], dtype=int64), array([14], dtype=int64), array([24], dtype=int64), array([2], dtype=int64), array([12], dtype=int64), array([33], dtype=int64), array([14], dtype=int64), array([2], dtype=int64), array([9], dtype=int64), array([38], dtype=int64)]}",,1.224744871391589,2,[12 33 14  2  9 38 24  2],-0.30000000000000004,0.9774178175281716,3.0,,2.75,1.0,True,,narrow-puzzle,0,,10.0,1.0112,0.31282899672313297,0,1.0112,14,5
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 1.0], 'action': [array([3], dtype=int64), array([1], dtype=int64), array([2], dtype=int64), array([24], dtype=int64), array([3], dtype=int64), array([7], dtype=int64), array([23], dtype=int64), array([25], dtype=int64), array([35], dtype=int64), array([13], dtype=int64), array([28], dtype=int64), array([24], dtype=int64), array([23], dtype=int64), array([1], dtype=int64), array([14], dtype=int64), array([13], dtype=int64), array([36], dtype=int64), array([38], dtype=int64), array([5], dtype=int64), array([1], dtype=int64), array([16], dtype=int64)]}",,1.0246950765959597,2,[36 38  5  1 16  1 14 13],-1.0000000000000004,0.9798687566511527,3.0,,2.75,1.0,True,,narrow-puzzle,0,,10.0,1.0114,-0.033364525875448504,0,1.0114,20,6
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 1.0], 'action': [array([35], dtype=int64), array([1], dtype=int64), array([16], dtype=int64), array([5], dtype=int64), array([9], dtype=int64), array([6], dtype=int64), array([28], dtype=int64), array([18], dtype=int64), array([5], dtype=int64), array([22], dtype=int64)]}",,1.4491376746189437,2,[ 5 22 16  5  9  6 28 18],0.10000000000000009,0.9806540168363811,3.0,,2.75,1.0,True,,narrow-puzzle,0,,10.0,1.0116,0.5179717490315061,0,1.0116,10,7
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -7.210051650250492], 'action': [array([2], dtype=int64), array([12], dtype=int64), array([17], dtype=int64), array([13], dtype=int64), array([18], dtype=int64), array([16], dtype=int64), array([25], dtype=int64), array([20], dtype=int64), array([13], dtype=int64), array([16], dtype=int64), array([25], dtype=int64), array([9], dtype=int64)]}",,1.3228756555322954,2,[13 16 25  9 18 16 25 20],-8.310051650250491,0.9501184605173063,4.0,,2.5,-7.210051650250492,True,,narrow-puzzle,0,,0.0,-7.2951302597234475,-7.358497169481967,0,1.0118,12,8
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 1.0], 'action': [array([6], dtype=int64), array([5], dtype=int64), array([24], dtype=int64), array([24], dtype=int64), array([36], dtype=int64), array([39], dtype=int64), array([35], dtype=int64), array([32], dtype=int64)]}",,1.620185174601965,2,[ 6  5 24 24 36 39 35 32],0.30000000000000004,0.9366673818775626,0.0,,2.75,1.0,True,,narrow-puzzle,0,,10.0,1.012,0.6226045161609863,0,1.012,8,9
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 1.0], 'action': [array([17], dtype=int64), array([29], dtype=int64), array([2], dtype=int64), array([3], dtype=int64), array([7], dtype=int64), array([28], dtype=int64), array([2], dtype=int64), array([18], dtype=int64), array([16], dtype=int64), array([28], dtype=int64), array([1], dtype=int64), array([30], dtype=int64), array([1], dtype=int64), array([10], dtype=int64)]}",,1.224744871391589,2,[16 28  1 30  1 10  2 18],-0.30000000000000004,0.9843432030984678,3.0,,2.75,1.0,True,,narrow-puzzle,0,,10.0,1.0122,0.31282899672313297,0,1.0122,14,10
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 8.544660805685808], 'action': [array([9], dtype=int64), array([22], dtype=int64), array([13], dtype=int64), array([24], dtype=int64), array([38], dtype=int64), array([17], dtype=int64), array([25], dtype=int64), array([2], dtype=int64)]}",,1.620185174601965,2,[ 9 22 13 24 38 17 25  2],7.844660805685808,0.976569057156847,0.0,,3.0,8.544660805685808,True,,narrow-puzzle,0,,50.0,8.650614599676311,7.908417965922883,0,1.0124,8,11
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -7.210051650250492], 'action': [array([25], dtype=int64), array([17], dtype=int64), array([25], dtype=int64), array([5], dtype=int64), array([16], dtype=int64), array([29], dtype=int64), array([2], dtype=int64), array([5], dtype=int64)]}",,1.620185174601965,2,[25 17 25  5 16 29  2  5],-7.910051650250492,0.968211300517019,0.0,,2.5,-7.210051650250492,True,,narrow-puzzle,0,,0.0,-7.300898301043648,-7.30577109637227,0,1.0126,8,12
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 8.544660805685808], 'action': [array([1], dtype=int64), array([25], dtype=int64), array([28], dtype=int64), array([33], dtype=int64), array([10], dtype=int64), array([24], dtype=int64), array([16], dtype=int64), array([35], dtype=int64)]}",,1.620185174601965,2,[ 1 25 28 33 10 24 16 35],7.844660805685808,0.9562218181794737,0.0,,3.0,8.544660805685808,True,,narrow-puzzle,0,,50.0,8.654032463998586,7.908417965922883,0,1.0128,8,13
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 8.544660805685808], 'action': [array([36], dtype=int64), array([32], dtype=int64), array([20], dtype=int64), array([16], dtype=int64), array([14], dtype=int64), array([8], dtype=int64), array([2], dtype=int64), array([24], dtype=int64)]}",,1.620185174601965,2,[36 32 20 16 14  8  2 24],7.844660805685808,0.9596868937742169,0.0,,3.0,8.544660805685808,True,,narrow-puzzle,0,,50.0,8.655741396159723,7.908417965922883,0,1.013,8,14
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 8.544660805685808], 'action': [array([36], dtype=int64), array([24], dtype=int64), array([18], dtype=int64), array([32], dtype=int64), array([38], dtype=int64), array([5], dtype=int64), array([10], dtype=int64), array([35], dtype=int64), array([24], dtype=int64), array([20], dtype=int64), array([9], dtype=int64), array([20], dtype=int64), array([20], dtype=int64), array([22], dtype=int64), array([29], dtype=int64), array([39], dtype=int64), array([16], dtype=int64), array([7], dtype=int64), array([13], dtype=int64), array([1], dtype=int64)]}",,1.0246950765959597,2,[16  7 13  1 20 22 29 39],6.644660805685808,0.9640787648082292,3.0,,3.0,8.544660805685808,True,,narrow-puzzle,0,,50.0,8.657450328320861,6.884270386639668,0,1.0132,20,15
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 1.0], 'action': [array([36], dtype=int64), array([6], dtype=int64), array([16], dtype=int64), array([35], dtype=int64), array([31], dtype=int64), array([23], dtype=int64), array([35], dtype=int64), array([28], dtype=int64), array([33], dtype=int64), array([39], dtype=int64), array([10], dtype=int64), array([33], dtype=int64), array([18], dtype=int64)]}",,1.2709778186044849,2,[33 39 10 33 18 23 35 28],-0.19999999999999996,0.9475615595071798,5.0,,2.75,1.0,True,,narrow-puzzle,0,,10.0,1.0134,0.36360574624117026,0,1.0134,13,16
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 8.544660805685808], 'action': [array([23], dtype=int64), array([35], dtype=int64), array([7], dtype=int64), array([9], dtype=int64), array([35], dtype=int64), array([27], dtype=int64), array([28], dtype=int64), array([7], dtype=int64), array([10], dtype=int64), array([30], dtype=int64), array([18], dtype=int64)]}",,1.381698559415515,2,[10 30 18  9 35 27 28  7],7.544660805685808,0.9739271662085498,3.0,,3.0,8.544660805685808,True,,narrow-puzzle,0,,50.0,8.660868192643136,7.644696128209407,0,1.0136,11,17
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 1.0], 'action': [array([20], dtype=int64), array([39], dtype=int64), array([38], dtype=int64), array([16], dtype=int64), array([1], dtype=int64), array([17], dtype=int64), array([16], dtype=int64), array([30], dtype=int64)]}",,1.620185174601965,2,[20 39 38 16  1 17 16 30],0.30000000000000004,0.966177351388351,0.0,,2.75,1.0,True,,narrow-puzzle,0,,10.0,1.0138,0.6226045161609863,0,1.0138,8,18
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 8.544660805685808], 'action': [array([18], dtype=int64), array([24], dtype=int64), array([17], dtype=int64), array([19], dtype=int64), array([13], dtype=int64), array([14], dtype=int64), array([39], dtype=int64), array([10], dtype=int64)]}",,1.620185174601965,2,[18 24 17 19 13 14 39 10],7.844660805685808,0.9876386685004571,0.0,,3.0,8.544660805685808,True,,narrow-puzzle,0,,50.0,8.664286056965409,7.908417965922883,0,1.014,8,19
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 1.0], 'action': [array([33], dtype=int64), array([24], dtype=int64), array([5], dtype=int64), array([32], dtype=int64), array([1], dtype=int64), array([29], dtype=int64), array([16], dtype=int64), array([6], dtype=int64), array([38], dtype=int64), array([9], dtype=int64), array([33], dtype=int64), array([33], dtype=int64)]}",,1.3228756555322954,2,[38  9 33 33  1 29 16  6],-0.09999999999999987,0.943601631299382,3.0,,2.75,1.0,True,,narrow-puzzle,0,,10.0,1.0142,0.4147200926881493,0,1.0142,12,20
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 8.544660805685808], 'action': [array([36], dtype=int64), array([1], dtype=int64), array([12], dtype=int64), array([39], dtype=int64), array([5], dtype=int64), array([2], dtype=int64), array([17], dtype=int64), array([29], dtype=int64)]}",,1.620185174601965,2,[36  1 12 39  5  2 17 29],7.844660805685808,0.9910760598382222,0.0,,3.0,8.544660805685808,True,,narrow-puzzle,0,,50.0,8.667703921287684,7.908417965922883,0,1.0144,8,21
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 1.0], 'action': [array([22], dtype=int64), array([28], dtype=int64), array([39], dtype=int64), array([29], dtype=int64), array([20], dtype=int64), array([32], dtype=int64), array([3], dtype=int64), array([29], dtype=int64)]}",,1.620185174601965,2,[22 28 39 29 20 32  3 29],0.30000000000000004,0.9501184605173063,0.0,,2.75,1.0,True,,narrow-puzzle,0,,10.0,1.0146,0.6226045161609863,0,1.0146,8,22
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 1.0], 'action': [array([23], dtype=int64), array([39], dtype=int64), array([6], dtype=int64), array([1], dtype=int64), array([6], dtype=int64), array([38], dtype=int64), array([33], dtype=int64), array([2], dtype=int64), array([20], dtype=int64)]}",,1.5275252316519468,2,[20 39  6  1  6 38 33  2],0.20000000000000007,0.9585482149617841,3.0,,2.75,1.0,True,,narrow-puzzle,0,,10.0,1.0148,0.5701141964438902,0,1.0148,9,23
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 8.544660805685808], 'action': [array([38], dtype=int64), array([13], dtype=int64), array([2], dtype=int64), array([25], dtype=int64), array([29], dtype=int64), array([35], dtype=int64), array([17], dtype=int64), array([28], dtype=int64), array([24], dtype=int64), array([1], dtype=int64), array([7], dtype=int64), array([3], dtype=int64), array([20], dtype=int64), array([9], dtype=int64), array([30], dtype=int64), array([16], dtype=int64), array([2], dtype=int64), array([25], dtype=int64), array([36], dtype=int64)]}",,1.0513149660756935,3,[ 2 25 36  3 20  9 30 16],6.7446608056858075,0.9562218181794737,3.0,,3.0,8.544660805685808,True,,narrow-puzzle,0,,50.0,8.672830717771097,6.966546886076954,0,1.0150000000000001,19,24
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 1.0], 'action': [array([32], dtype=int64), array([25], dtype=int64), array([33], dtype=int64), array([24], dtype=int64), array([7], dtype=int64), array([13], dtype=int64), array([25], dtype=int64), array([9], dtype=int64)]}",,1.620185174601965,3,[32 25 33 24  7 13 25  9],0.30000000000000004,0.9462582252386378,0.0,,2.75,1.0,True,,narrow-puzzle,0,,10.0,1.0152,0.6226045161609863,0,1.0152,8,25
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 1.0], 'action': [array([2], dtype=int64), array([14], dtype=int64), array([16], dtype=int64), array([24], dtype=int64), array([16], dtype=int64), array([35], dtype=int64), array([25], dtype=int64), array([9], dtype=int64)]}",,1.620185174601965,3,[ 2 14 16 24 16 35 25  9],0.30000000000000004,0.9526092095121206,0.0,,2.75,1.0,True,,narrow-puzzle,0,,10.0,1.0154,0.6226045161609863,0,1.0154,8,26
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -7.210051650250492], 'action': [array([33], dtype=int64), array([10], dtype=int64), array([29], dtype=int64), array([30], dtype=int64), array([1], dtype=int64), array([4], dtype=int64), array([7], dtype=int64), array([1], dtype=int64), array([25], dtype=int64), array([29], dtype=int64), array([25], dtype=int64), array([25], dtype=int64), array([1], dtype=int64), array([29], dtype=int64), array([29], dtype=int64), array([13], dtype=int64), array([2], dtype=int64), array([17], dtype=int64), array([14], dtype=int64), array([2], dtype=int64)]}",,1.0513149660756935,4,[ 2 17 14  2  1 29 29 13],-9.110051650250492,0.9905422315747727,3.0,,2.5,-7.210051650250492,True,,narrow-puzzle,0,,0.0,-7.3225284559944,-7.459848805242797,0,1.0156,19,27
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 8.544660805685808], 'action': [array([33], dtype=int64), array([20], dtype=int64), array([7], dtype=int64), array([32], dtype=int64), array([25], dtype=int64), array([35], dtype=int64), array([18], dtype=int64), array([33], dtype=int64), array([29], dtype=int64), array([13], dtype=int64), array([16], dtype=int64), array([39], dtype=int64)]}",,1.3228756555322954,5,[29 13 16 39 25 35 18 33],7.444660805685809,0.9308165808016583,3.0,,3.0,8.544660805685808,True,,narrow-puzzle,0,,50.0,8.679666446415645,7.557950136823856,0,1.0158,12,28
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 1.0], 'action': [array([36], dtype=int64), array([35], dtype=int64), array([3], dtype=int64), array([3], dtype=int64), array([2], dtype=int64), array([16], dtype=int64), array([38], dtype=int64), array([33], dtype=int64)]}",,1.620185174601965,5,[36 35  3  3  2 16 38 33],0.30000000000000004,0.9550340452631383,0.0,,2.75,1.0,True,,narrow-puzzle,0,,10.0,1.016,0.6226045161609863,0,1.016,8,29
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 8.544660805685808], 'action': [array([12], dtype=int64), array([28], dtype=int64), array([6], dtype=int64), array([20], dtype=int64), array([36], dtype=int64), array([10], dtype=int64), array([32], dtype=int64), array([29], dtype=int64), array([31], dtype=int64), array([2], dtype=int64), array([16], dtype=int64), array([39], dtype=int64), array([12], dtype=int64), array([1], dtype=int64), array([25], dtype=int64), array([5], dtype=int64), array([6], dtype=int64)]}",,1.1114378604524227,5,[ 6  2 16 39 12  1 25  5],6.944660805685808,0.9798687566511527,3.0,,3.0,8.544660805685808,True,,narrow-puzzle,0,,50.0,8.683084310737918,7.132736505407453,0,1.0162,17,30
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -7.210051650250492], 'action': [array([29], dtype=int64), array([20], dtype=int64), array([1], dtype=int64), array([17], dtype=int64), array([33], dtype=int64), array([24], dtype=int64), array([1], dtype=int64), array([14], dtype=int64), array([6], dtype=int64), array([25], dtype=int64), array([2], dtype=int64), array([12], dtype=int64), array([16], dtype=int64), array([22], dtype=int64), array([16], dtype=int64), array([13], dtype=int64), array([14], dtype=int64), array([29], dtype=int64), array([23], dtype=int64), array([14], dtype=int64)]}",,1.0246950765959597,5,[14 29 23 14 16 22 16 13],-9.110051650250492,0.9585482149617841,3.0,,2.5,-7.210051650250492,True,,narrow-puzzle,0,,0.0,-7.328296497314599,-7.459848805242797,0,1.0164,20,31
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 1.0], 'action': [array([28], dtype=int64), array([35], dtype=int64), array([3], dtype=int64), array([4], dtype=int64), array([28], dtype=int64), array([23], dtype=int64), array([33], dtype=int64), array([28], dtype=int64), array([20], dtype=int64), array([3], dtype=int64), array([24], dtype=int64), array([29], dtype=int64), array([20], dtype=int64)]}",,1.2709778186044849,5,[20  3 24 29 20 23 33 28],-0.19999999999999996,0.9538298519222945,3.0,,2.75,1.0,True,,narrow-puzzle,0,,10.0,1.0166,0.36360574624117026,0,1.0166,13,32
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 8.544660805685808], 'action': [array([10], dtype=int64), array([39], dtype=int64), array([29], dtype=int64), array([39], dtype=int64), array([3], dtype=int64), array([7], dtype=int64), array([12], dtype=int64), array([38], dtype=int64), array([13], dtype=int64), array([26], dtype=int64), array([18], dtype=int64), array([2], dtype=int64), array([16], dtype=int64), array([17], dtype=int64), array([27], dtype=int64), array([38], dtype=int64), array([3], dtype=int64), array([13], dtype=int64)]}",,1.1114378604524227,5,[ 3 13 18  2 16 17 27 38],6.844660805685808,0.9836369257846015,3.0,,3.0,8.544660805685808,True,,narrow-puzzle,0,,50.0,8.68821110722133,7.049367566205181,0,1.0168,17,33
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 8.544660805685808], 'action': [array([10], dtype=int64), array([35], dtype=int64), array([10], dtype=int64), array([24], dtype=int64), array([28], dtype=int64), array([5], dtype=int64), array([32], dtype=int64), array([7], dtype=int64), array([9], dtype=int64), array([10], dtype=int64), array([12], dtype=int64), array([2], dtype=int64), array([13], dtype=int64)]}",,1.2709778186044849,7,[ 9 10 12  2 13  5 32  7],7.344660805685808,0.9939518101706445,3.0,,3.0,8.544660805685808,True,,narrow-puzzle,0,,50.0,8.689920039382466,7.471777571627171,0,1.017,13,34
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 1.0], 'action': [array([14], dtype=int64), array([33], dtype=int64), array([20], dtype=int64), array([25], dtype=int64), array([36], dtype=int64), array([16], dtype=int64), array([10], dtype=int64), array([17], dtype=int64), array([39], dtype=int64), array([24], dtype=int64), array([3], dtype=int64), array([13], dtype=int64), array([1], dtype=int64), array([18], dtype=int64), array([1], dtype=int64), array([6], dtype=int64), array([2], dtype=int64), array([10], dtype=int64), array([35], dtype=int64)]}",,1.0513149660756935,8,[ 2 10 35 13  1 18  1  6],-0.8000000000000005,0.9876386685004571,4.0,,2.75,1.0,True,,narrow-puzzle,0,,10.0,1.0172,0.06392177793971517,0,1.0172,19,35
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 8.544660805685808], 'action': [array([39], dtype=int64), array([13], dtype=int64), array([1], dtype=int64), array([13], dtype=int64), array([17], dtype=int64), array([22], dtype=int64), array([36], dtype=int64), array([6], dtype=int64), array([10], dtype=int64), array([12], dtype=int64), array([25], dtype=int64), array([9], dtype=int64)]}",,1.3228756555322954,8,[10 12 25  9 17 22 36  6],7.444660805685809,0.9863676072907088,3.0,,3.0,8.544660805685808,True,,narrow-puzzle,0,,50.0,8.693337903704743,7.557950136823856,0,1.0174,12,36
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 1.0], 'action': [array([24], dtype=int64), array([18], dtype=int64), array([12], dtype=int64), array([33], dtype=int64), array([29], dtype=int64), array([18], dtype=int64), array([22], dtype=int64), array([25], dtype=int64), array([23], dtype=int64), array([13], dtype=int64), array([13], dtype=int64), array([39], dtype=int64), array([22], dtype=int64), array([28], dtype=int64), array([4], dtype=int64), array([6], dtype=int64)]}",,1.1456439237389602,8,[23 13 13 39 22 28  4  6],-0.5000000000000002,0.987010982481777,3.0,,2.75,1.0,True,,narrow-puzzle,0,,10.0,1.0176,0.21227823722729977,0,1.0176,16,37
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 1.0], 'action': [array([24], dtype=int64), array([7], dtype=int64), array([22], dtype=int64), array([26], dtype=int64), array([16], dtype=int64), array([14], dtype=int64), array([22], dtype=int64), array([13], dtype=int64), array([36], dtype=int64), array([22], dtype=int64), array([33], dtype=int64), array([17], dtype=int64), array([6], dtype=int64), array([22], dtype=int64), array([10], dtype=int64)]}",,1.1832159566199232,10,[36 22 33 17  6 22 10 13],-0.40000000000000013,0.974823751226296,3.0,,2.75,1.0,True,,narrow-puzzle,0,,10.0,1.0178,0.26238732630550815,0,1.0178,15,38
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -9.23545986853401], 'action': [array([25], dtype=int64), array([32], dtype=int64), array([28], dtype=int64), array([36], dtype=int64), array([22], dtype=int64), array([4], dtype=int64), array([14], dtype=int64), array([25], dtype=int64), array([1], dtype=int64), array([20], dtype=int64), array([29], dtype=int64), array([12], dtype=int64), array([13], dtype=int64), array([16], dtype=int64), array([2], dtype=int64), array([2], dtype=int64), array([22], dtype=int64), array([10], dtype=int64), array([25], dtype=int64), array([2], dtype=int64)]}",,1.0246950765959597,10,[22 10 25  2 13 16  2  2],-11.13545986853401,0.9720860303962262,4.0,,2.4056390622295662,-9.23545986853401,True,,narrow-puzzle,0,,0.0,-9.401698146167622,-9.303912730657709,0,1.018,20,39
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 1.0], 'action': [array([23], dtype=int64), array([25], dtype=int64), array([2], dtype=int64), array([16], dtype=int64), array([35], dtype=int64), array([16], dtype=int64), array([28], dtype=int64), array([33], dtype=int64)]}",,1.620185174601965,10,[23 25  2 16 35 16 28 33],0.30000000000000004,0.9538298519222945,0.0,,2.75,1.0,True,,narrow-puzzle,0,,10.0,1.0182,0.6226045161609863,0,1.0182,8,40
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 1.0], 'action': [array([24], dtype=int64), array([1], dtype=int64), array([10], dtype=int64), array([28], dtype=int64), array([38], dtype=int64), array([6], dtype=int64), array([16], dtype=int64), array([10], dtype=int64)]}",,1.620185174601965,11,[24  1 10 28 38  6 16 10],0.30000000000000004,0.9692040949598235,0.0,,2.75,1.0,True,,narrow-puzzle,0,,10.0,1.0184,0.6226045161609863,0,1.0184,8,41
